sex,race,age,pregprev2,WgtFreq,Frequency
female,white,12,no method,.,0
female,white,12,pills,.,0
female,white,12,other hormonal,.,0
female,white,12,condoms,.,0
female,white,12,LARC,.,0
female,white,12,withdrawal/other,.,0
female,white,14,no method,3.1062,6
female,white,14,pills,2.617,5
female,white,14,other hormonal,2.1525,3
female,white,14,condoms,26.5063,30
female,white,14,LARC,2.6591,1
female,white,14,withdrawal/other,2.1109,4
female,white,15,no method,20.5508,19
female,white,15,pills,33.8967,33
female,white,15,other hormonal,9.4502,8
female,white,15,condoms,55.4822,59
female,white,15,LARC,10.6711,3
female,white,15,withdrawal/other,15.5362,13
female,white,16,no method,25.4576,25
female,white,16,pills,73.0358,77
female,white,16,other hormonal,29.283,23
female,white,16,condoms,144.4274,123
female,white,16,LARC,16.7211,14
female,white,16,withdrawal/other,40.7849,26
female,white,17,no method,35.4733,38
female,white,17,pills,112.7613,106
female,white,17,other hormonal,36.2934,24
female,white,17,condoms,133.391,99
female,white,17,LARC,18.2632,18
female,white,17,withdrawal/other,49.4113,44
female,white,18,no method,34.3296,22
female,white,18,pills,74.6314,55
female,white,18,other hormonal,26.9584,18
female,white,18,condoms,93.6281,61
female,white,18,LARC,7.5729,4
female,white,18,withdrawal/other,16.3265,14
female,black,12,no method,.,0
female,black,12,pills,.,0
female,black,12,other hormonal,.,0
female,black,12,condoms,.,0
female,black,12,LARC,.,0
female,black,12,withdrawal/other,.,0
female,black,14,no method,2.0759,1
female,black,14,pills,1.3766,1
female,black,14,other hormonal,2.5894,2
female,black,14,condoms,3.1143,3
female,black,14,LARC,.,0
female,black,14,withdrawal/other,1.3766,1
female,black,15,no method,6.5313,6
female,black,15,pills,1.031,2
female,black,15,other hormonal,2.1086,2
female,black,15,condoms,13.6248,13
female,black,15,LARC,.,0
female,black,15,withdrawal/other,7.2635,10
female,black,16,no method,14.1325,10
female,black,16,pills,6.9126,6
female,black,16,other hormonal,4.9108,6
female,black,16,condoms,16.8044,20
female,black,16,LARC,0.732,2
female,black,16,withdrawal/other,8.3077,7
female,black,17,no method,15.133,14
female,black,17,pills,3.6615,6
female,black,17,other hormonal,1.3148,2
female,black,17,condoms,32.1461,25
female,black,17,LARC,0.8871,1
female,black,17,withdrawal/other,6.2962,6
female,black,18,no method,15.017,18
female,black,18,pills,5.6792,5
female,black,18,other hormonal,5.2458,5
female,black,18,condoms,17.6828,17
female,black,18,LARC,6.0187,5
female,black,18,withdrawal/other,1.5416,3
female,hispanic,12,no method,1.821,1
female,hispanic,12,pills,.,0
female,hispanic,12,other hormonal,.,0
female,hispanic,12,condoms,0.1927,1
female,hispanic,12,LARC,.,0
female,hispanic,12,withdrawal/other,.,0
female,hispanic,14,no method,4.6152,8
female,hispanic,14,pills,1.5278,2
female,hispanic,14,other hormonal,.,0
female,hispanic,14,condoms,8.0057,11
female,hispanic,14,LARC,0.8404,2
female,hispanic,14,withdrawal/other,3.0378,5
female,hispanic,15,no method,15.9297,20
female,hispanic,15,pills,8.0882,10
female,hispanic,15,other hormonal,3.2281,7
female,hispanic,15,condoms,36.6663,45
female,hispanic,15,LARC,1.7394,2
female,hispanic,15,withdrawal/other,8.8796,12
female,hispanic,16,no method,16.166,20
female,hispanic,16,pills,15.1644,25
female,hispanic,16,other hormonal,4.1344,6
female,hispanic,16,condoms,38.1109,68
female,hispanic,16,LARC,2.3202,4
female,hispanic,16,withdrawal/other,13.3848,23
female,hispanic,17,no method,32.0644,51
female,hispanic,17,pills,26.1394,38
female,hispanic,17,other hormonal,5.3431,13
female,hispanic,17,condoms,51.5402,86
female,hispanic,17,LARC,8.4125,10
female,hispanic,17,withdrawal/other,12.5202,24
female,hispanic,18,no method,28.4485,38
female,hispanic,18,pills,16.3269,21
female,hispanic,18,other hormonal,3.5622,6
female,hispanic,18,condoms,44.258,61
female,hispanic,18,LARC,4.2931,6
female,hispanic,18,withdrawal/other,9.6951,10
