sex,race,age,pregprev2,WgtFreq,Frequency
female,white,12,no method,1.1696,1
female,white,12,pills,.,0
female,white,12,other hormonal,.,0
female,white,12,condoms,.,0
female,white,12,LARC,.,0
female,white,12,withdrawal/other,.,0
female,white,13,no method,.,0
female,white,13,pills,.,0
female,white,13,other hormonal,.,0
female,white,13,condoms,.,0
female,white,13,LARC,.,0
female,white,13,withdrawal/other,.,0
female,white,14,no method,4.0081,3
female,white,14,pills,14.5045,9
female,white,14,other hormonal,.,0
female,white,14,condoms,28.6438,18
female,white,14,LARC,0.5667,1
female,white,14,withdrawal/other,2.2679,2
female,white,15,no method,23.3586,15
female,white,15,pills,35.9228,22
female,white,15,other hormonal,10.0492,8
female,white,15,condoms,89.1988,49
female,white,15,LARC,2.8147,3
female,white,15,withdrawal/other,25.9817,15
female,white,16,no method,46.3455,33
female,white,16,pills,86.0547,58
female,white,16,other hormonal,12.3393,9
female,white,16,condoms,127.6792,87
female,white,16,LARC,4.513,4
female,white,16,withdrawal/other,45.9448,29
female,white,17,no method,49.3993,41
female,white,17,pills,143.7426,110
female,white,17,other hormonal,17.8501,18
female,white,17,condoms,151.8063,109
female,white,17,LARC,5.2638,5
female,white,17,withdrawal/other,41.3859,31
female,white,18,no method,24.3837,25
female,white,18,pills,103.5925,83
female,white,18,other hormonal,20.2552,17
female,white,18,condoms,74.1443,58
female,white,18,LARC,11.5763,7
female,white,18,withdrawal/other,26.2385,19
female,black,12,no method,0.2295,1
female,black,12,pills,.,0
female,black,12,other hormonal,.,0
female,black,12,condoms,.,0
female,black,12,LARC,.,0
female,black,12,withdrawal/other,.,0
female,black,13,no method,0.2973,1
female,black,13,pills,.,0
female,black,13,other hormonal,.,0
female,black,13,condoms,.,0
female,black,13,LARC,.,0
female,black,13,withdrawal/other,.,0
female,black,14,no method,4.9404,10
female,black,14,pills,.,0
female,black,14,other hormonal,.,0
female,black,14,condoms,4.9723,9
female,black,14,LARC,.,0
female,black,14,withdrawal/other,1.6351,3
female,black,15,no method,10.3006,19
female,black,15,pills,2.2591,4
female,black,15,other hormonal,2.3053,3
female,black,15,condoms,28.8543,43
female,black,15,LARC,0.3457,1
female,black,15,withdrawal/other,5.8081,8
female,black,16,no method,17.3284,23
female,black,16,pills,4.6562,7
female,black,16,other hormonal,10.6533,14
female,black,16,condoms,41.7334,64
female,black,16,LARC,2.3858,5
female,black,16,withdrawal/other,4.9864,6
female,black,17,no method,17.5175,24
female,black,17,pills,8.9446,15
female,black,17,other hormonal,15.5041,24
female,black,17,condoms,40.9608,77
female,black,17,LARC,1.3917,3
female,black,17,withdrawal/other,9.986,17
female,black,18,no method,19.0723,33
female,black,18,pills,8.183,20
female,black,18,other hormonal,4.7915,11
female,black,18,condoms,36.2158,71
female,black,18,LARC,1.602,4
female,black,18,withdrawal/other,11.4497,14
female,hispanic,12,no method,1.2519,1
female,hispanic,12,pills,.,0
female,hispanic,12,other hormonal,.,0
female,hispanic,12,condoms,.,0
female,hispanic,12,LARC,.,0
female,hispanic,12,withdrawal/other,.,0
female,hispanic,13,no method,.,0
female,hispanic,13,pills,.,0
female,hispanic,13,other hormonal,.,0
female,hispanic,13,condoms,.,0
female,hispanic,13,LARC,.,0
female,hispanic,13,withdrawal/other,0.9001,1
female,hispanic,14,no method,5.2497,7
female,hispanic,14,pills,1.6936,2
female,hispanic,14,other hormonal,0.5782,1
female,hispanic,14,condoms,7.2156,12
female,hispanic,14,LARC,.,0
female,hispanic,14,withdrawal/other,1.387,3
female,hispanic,15,no method,14.443,17
female,hispanic,15,pills,7.5877,6
female,hispanic,15,other hormonal,3.4535,4
female,hispanic,15,condoms,50.8067,42
female,hispanic,15,LARC,.,0
female,hispanic,15,withdrawal/other,10.1894,10
female,hispanic,16,no method,26.0858,27
female,hispanic,16,pills,6.8419,7
female,hispanic,16,other hormonal,3.6957,4
female,hispanic,16,condoms,39.3117,44
female,hispanic,16,LARC,1.3263,2
female,hispanic,16,withdrawal/other,11.5785,10
female,hispanic,17,no method,27.9733,37
female,hispanic,17,pills,9.7932,19
female,hispanic,17,other hormonal,10.0118,10
female,hispanic,17,condoms,66.1782,91
female,hispanic,17,LARC,3.4244,5
female,hispanic,17,withdrawal/other,27.7241,28
female,hispanic,18,no method,32.8022,31
female,hispanic,18,pills,7.0362,14
female,hispanic,18,other hormonal,6.0627,7
female,hispanic,18,condoms,44.8888,51
female,hispanic,18,LARC,1.7538,7
female,hispanic,18,withdrawal/other,11.1085,16
