sex,race,age,pregprev2,WgtFreq,Frequency
female,white,12,no method,.,0
female,white,12,pills,0.5411,1
female,white,12,injection,.,0
female,white,12,condoms,.,0
female,white,12,withdrawal,.,0
female,white,12,other,.,0
female,white,13,no method,1.3109,1
female,white,13,pills,.,0
female,white,13,injection,.,0
female,white,13,condoms,.,0
female,white,13,withdrawal,.,0
female,white,13,other,.,0
female,white,14,no method,1.1637,2
female,white,14,pills,6.9774,7
female,white,14,injection,1.1102,1
female,white,14,condoms,28.7524,24
female,white,14,withdrawal,8.8405,5
female,white,14,other,4.2255,3
female,white,15,no method,26.9875,18
female,white,15,pills,48.8809,31
female,white,15,injection,10.2206,8
female,white,15,condoms,116.4586,98
female,white,15,withdrawal,22.3511,18
female,white,15,other,5.4471,5
female,white,16,no method,33.8365,27
female,white,16,pills,69.813,58
female,white,16,injection,10.4049,8
female,white,16,condoms,188.1747,138
female,white,16,withdrawal,35.7168,33
female,white,16,other,13.2894,8
female,white,17,no method,39.8469,35
female,white,17,pills,192.9972,142
female,white,17,injection,12.6439,13
female,white,17,condoms,180.9364,146
female,white,17,withdrawal,58.4515,50
female,white,17,other,8.4892,7
female,white,18,no method,37.1859,28
female,white,18,pills,142.2784,101
female,white,18,injection,11.0635,9
female,white,18,condoms,88.8152,81
female,white,18,withdrawal,34.1097,30
female,white,18,other,3.6937,4
female,black,12,no method,.,0
female,black,12,pills,.,0
female,black,12,injection,.,0
female,black,12,condoms,.,0
female,black,12,withdrawal,.,0
female,black,12,other,.,0
female,black,13,no method,.,0
female,black,13,pills,.,0
female,black,13,injection,.,0
female,black,13,condoms,.,0
female,black,13,withdrawal,.,0
female,black,13,other,.,0
female,black,14,no method,6.4916,4
female,black,14,pills,0.535,1
female,black,14,injection,.,0
female,black,14,condoms,16.0366,10
female,black,14,withdrawal,1.1334,1
female,black,14,other,0.9968,2
female,black,15,no method,22.5136,18
female,black,15,pills,2.3805,3
female,black,15,injection,0.3668,1
female,black,15,condoms,39.7184,37
female,black,15,withdrawal,8.0055,8
female,black,15,other,1.2142,1
female,black,16,no method,16.8679,25
female,black,16,pills,8.0658,15
female,black,16,injection,3.7821,7
female,black,16,condoms,43.096,56
female,black,16,withdrawal,17.8634,16
female,black,16,other,1.9706,4
female,black,17,no method,20.7939,36
female,black,17,pills,16.887,25
female,black,17,injection,19.5788,26
female,black,17,condoms,57.9799,85
female,black,17,withdrawal,18.3611,26
female,black,17,other,3.8857,7
female,black,18,no method,18.998,33
female,black,18,pills,13.1109,21
female,black,18,injection,11.8915,16
female,black,18,condoms,22.5838,47
female,black,18,withdrawal,12.1865,15
female,black,18,other,2.104,5
female,hispanic,12,no method,1.7673,2
female,hispanic,12,pills,.,0
female,hispanic,12,injection,.,0
female,hispanic,12,condoms,.,0
female,hispanic,12,withdrawal,.,0
female,hispanic,12,other,.,0
female,hispanic,13,no method,1.0982,1
female,hispanic,13,pills,.,0
female,hispanic,13,injection,.,0
female,hispanic,13,condoms,.,0
female,hispanic,13,withdrawal,.,0
female,hispanic,13,other,.,0
female,hispanic,14,no method,6.2909,8
female,hispanic,14,pills,1.1954,2
female,hispanic,14,injection,1.2348,1
female,hispanic,14,condoms,13.6702,25
female,hispanic,14,withdrawal,3.8538,5
female,hispanic,14,other,0.2363,1
female,hispanic,15,no method,19.6097,34
female,hispanic,15,pills,6.9861,10
female,hispanic,15,injection,5.14,5
female,hispanic,15,condoms,52.6436,68
female,hispanic,15,withdrawal,6.1271,10
female,hispanic,15,other,2.8767,5
female,hispanic,16,no method,27.4835,48
female,hispanic,16,pills,5.7831,14
female,hispanic,16,injection,8.8816,18
female,hispanic,16,condoms,52.8887,83
female,hispanic,16,withdrawal,13.103,24
female,hispanic,16,other,4.2785,7
female,hispanic,17,no method,31.0853,55
female,hispanic,17,pills,18.7204,32
female,hispanic,17,injection,3.8343,9
female,hispanic,17,condoms,51.9976,102
female,hispanic,17,withdrawal,16.3425,25
female,hispanic,17,other,7.0892,14
female,hispanic,18,no method,18.4003,38
female,hispanic,18,pills,13.1841,26
female,hispanic,18,injection,3.5796,6
female,hispanic,18,condoms,30.8921,57
female,hispanic,18,withdrawal,8.782,16
female,hispanic,18,other,4.2479,6
